Org Name,Primary Segment,Secondary Segments,Focus,Description,Funding Model,Funding Detail,Website,Problem Area,Problem Topic
Annie E. Casey Foundation,Philanthropy,,"State,City","Major funder of Georgetown Beeck Center. Focus on child welfare, juvenile justice, and family economic success; all areas where government delivery capacity is critical. Funds community-based organizations and government agencies improving child/family outcomes through data and technology.",Philanthropy,$3B+ endowment,aecf.org,"Domains,Service Delivery,Test & Learn","Child Welfare,Criminal Justice,Benefits Access,Outcomes Measurement"
Arnold Ventures,Philanthropy,,"Federal,State,City","Funds evidence-based government reform including Results for America and government performance initiatives. Focus on criminal justice, health, evidence-based implementation.",Philanthropy,John and Laura Arnold wealth,arnoldventures.org,"Domains,Test & Learn","Criminal Justice,Healthcare Access,Evidence Use,Outcomes Measurement,Education Delivery,Scaling What Works"
Ballmer Group (Steve & Connie Ballmer),Philanthropy,,"State,City","Funds data-driven systems change for economic mobility, including evidence-based government, workforce development, and government data use. Key funder of GovEx/JHU Centers for Civic Impact and USAFacts, co-founder of NextLadder Ventures, and funding partner of the Public Benefit Innovation Fund; $1B+ commitment to Washington State early childhood.",Philanthropy,Steve Ballmer personal wealth (fmr. Microsoft CEO),ballmergroup.org,"Test & Learn,Participatory Democracy,Domains,Technology & Data","Outcomes Measurement,Transparency & Accountability,Economic Mobility,Data Integration,Education Delivery"
Bloomberg Philanthropies: Government Innovation,Philanthropy,,"Federal,State,City","Major funder of city-level government innovation. Funds Bloomberg Harvard City Leadership Initiative, Bloomberg Center for Cities, What Works Cities (via Results for America), Data-Smart City Solutions, i-teams.",Philanthropy,Bloomberg LP profits; Michael Bloomberg personal wealth,bloomberg.org/government-innovation,"Test & Learn,Domains,Service Delivery","Outcomes Measurement,AI in Government,Service Design,Scaling What Works"
Blue Meridian Partners,Philanthropy,Impact Investing,"Federal,State,City","Funder collaborative that finds and scales solutions for economic mobility, with Ballmer Group as a major partner. Many grantees work directly with government on benefits delivery, workforce development, and child welfare systems.",Philanthropy,"Ballmer Group, Sergey Brin Family Foundation, Edna McConnell Clark Foundation + others; grants-based, not equity",bluemeridian.org,"Domains,Service Delivery,Test & Learn","Economic Mobility,Benefits Access,Scaling What Works"
Chan Zuckerberg Initiative (CZI),Philanthropy,,"State,City","LLC blending grants and investments; funded FUSE Corps and Bay Area housing, health, and economic development programs. Restructured in Feb 2025 away from social advocacy toward AI in science and education, narrowing its state capacity relevance.",Philanthropy,Mark Zuckerberg and Priscilla Chan personal wealth; operates as LLC,chanzuckerberg.com,"Domains,Service Delivery","AI in Government,Education Delivery,Benefits Access"
Craig Newmark Philanthropies,Philanthropy,,"Federal,State,City","Foundation of craigslist founder Craig Newmark. Major funder of Aspen Policy Academy since its founding; supports cybersecurity, trustworthy journalism, and the public interest technology pipeline.",Philanthropy,Craig Newmark personal wealth,craignewmarkphilanthropies.org,"Talent & Hiring,Technology & Data","Talent Pipeline,Data Security,Expert Contribution"
Data.org,Philanthropy,"Advocacy,Digital Services & Consulting","Federal,State,City",Nonprofit building the field of data for social impact. Capacity Accelerator Network provides training and resources for organizations using data to improve public services. Inclusive Growth and Recovery Challenge funds data-driven solutions.,Philanthropy,Mastercard Center for Inclusive Growth + philanthropic,data.org,"Technology & Data,Test & Learn","Data Integration,Outcomes Measurement,Scaling What Works,Evidence Use"
de Beaumont Foundation,Philanthropy,"Research,Capacity Building","Federal,State,City","Private foundation (est. 1998) that strengthens state and local health department capacity and the public health workforce as an engaged funder that does not take unsolicited proposals. Programs include the PH WINS workforce survey (with ASTHO), Public Health Forward (with Bipartisan Policy Center), and the Public Health Workforce Calculator.",Philanthropy,Fully endowed private foundation (Pierre de Beaumont estate); does not accept unsolicited proposals,debeaumont.org,"Domains,Talent & Hiring,Procurement & Operations,Test & Learn","Public Health,Talent Pipeline,Operational Excellence,Evidence Use,Hiring Architecture"
Democracy Fund (Omidyar Group),Philanthropy,,Federal,"Nonpartisan foundation with effective and accountable government as one of four pillars, making 200+ grants a year. Funds congressional modernization (POPVOX Foundation, Lincoln Network), government transparency, and legislative branch capacity; shifted toward democracy defense in 2025-2026.",Philanthropy,Pierre and Pam Omidyar / Omidyar Group,democracyfund.org,"Participatory Democracy,Procurement & Operations","Democracy Infrastructure,Reaction Time,Transparency & Accountability"
Emerson Collective (Laurene Powell Jobs),Philanthropy,Venture Philanthropy,"Federal,State,City","LLC founded by Laurene Powell Jobs blending venture, philanthropy, and advocacy. Invested in OpenGov; works to reshape government systems in education and immigration and founded Chicago CRED and E Pluribus Unum.",Philanthropy,Powell Jobs personal wealth; Waverley Street Foundation committed $3.5B over 10 years,emersoncollective.com,Domains,"Housing & Land Use,Criminal Justice"
Families and Workers Fund,Philanthropy,,"Federal,State,City","$135M+ pooled funder collaborative (40+ funders) supporting public benefits delivery modernization, civic tech, and government innovation alongside workforce policy. Funding partner of the Public Benefit Innovation Fund, housed at the Center for Civic Futures.",Philanthropy (pooled fund),"Ford Foundation, Schmidt Futures, Rockefeller Foundation, Annie E. Casey, Open Society Foundations, MacKenzie Scott, and 35+ co-funders",familiesandworkers.org,"Service Delivery,Talent & Hiring,Domains","Benefits Access,Workforce Development,AI in Government,Service Design"
Ford Foundation,Philanthropy,,"Federal,State,City","Major funder of public interest technology ecosystem. Co-convenes PIT-UN. Funds Coding it Forward, FUSE Corps, Aspen Policy Academy, Data & Society, Ash Center endowment, PIT Infrastructure Fund.",Philanthropy,$16B endowment,fordfoundation.org,"Talent & Hiring,Participatory Democracy,Service Delivery,Test & Learn","Talent Pipeline,Expert Contribution,Transparency & Accountability,Benefits Access,Scaling What Works"
Gates Foundation,Philanthropy,,"Federal,State,City",Funds GovEx/JHU Centers for Civic Impact and government data capacity in public health and education. Co-founder of NextLadder Ventures and funding partner of the Public Benefit Innovation Fund; government modernization is secondary to its core programs.,Philanthropy,$67B+ endowment (largest private foundation),gatesfoundation.org,"Domains,Technology & Data,Test & Learn","Education Delivery,Public Health,Data Integration,Outcomes Measurement"
Google.org,Philanthropy,Corporate Philanthropy,"State,City","Google's philanthropic arm, funding AI for social good, digital skills, and civic technology. Funded Decoded Futures ($1M), InnovateUS ($5M, 2025), and CiviForm through Google.org Fellows.",Corporate Philanthropy,Google / Alphabet Inc.,google.org,"Domains,Talent & Hiring","AI in Government,Talent Pipeline"
Hewlett Foundation,Philanthropy,,"Federal,State,City","Co-convenes PIT-UN. Funds TechCongress, public interest technology infrastructure, and government performance programs.",Philanthropy,$12B+ endowment,hewlett.org,"Talent & Hiring,Participatory Democracy,Procurement & Operations,Test & Learn","Talent Pipeline,Expert Contribution,Transparency & Accountability,Reaction Time,Scaling What Works"
Irvine Foundation (James Irvine Foundation),Philanthropy,,State,California-focused funder. Supports FUSE Corps. Focus on economic and political inclusion in California; funds orgs that strengthen civic participation and government responsiveness at state and local levels.,Philanthropy,$2B+ endowment,irvine.org,"Participatory Democracy,Domains","Civic Engagement,Economic Mobility"
Knight Foundation,Philanthropy,,City,"Funds civic engagement, data-driven governance, and smart city strategies, with a focus on mid-size US cities. Grantees include Harvard Data-Smart City Solutions, GovEx/JHU, and San Jose AI partnerships; runs the Knight Emerging City Champions fellowship.",Philanthropy,$3.5B+ endowment (Knight brothers / Knight Ridder),knightfoundation.org,"Test & Learn,Technology & Data,Participatory Democracy,Domains","Outcomes Measurement,Data Integration,Civic Engagement,AI in Government"
Luminate (Omidyar Group),Philanthropy,,"Federal,State,City","Global foundation focused on civic empowerment, data and digital rights, financial transparency, and independent media. Funds orgs working on government transparency, open data, and citizen participation. Spun out of Omidyar Network's Governance & Citizen Engagement initiative in 2018.",Philanthropy,Pierre and Pam Omidyar / Omidyar Group,luminategroup.com,"Participatory Democracy,Technology & Data","Transparency & Accountability,Data Security,Civic Engagement,Democracy Infrastructure"
MacArthur Foundation,Philanthropy,,City,"Major funder of Civic Consulting Alliance ($6M+ since 2003). Supports government accountability, criminal justice reform, and community development orgs that work with local government. Also funds Data & Society and investigative journalism that surfaces government capacity issues.",Philanthropy,$8B+ endowment,macfound.org,"Procurement & Operations,Domains,Participatory Democracy","Operational Excellence,Criminal Justice,Transparency & Accountability"
Mastercard Center for Inclusive Growth / Mastercard Impact Fund,Philanthropy,Corporate Philanthropy,"Federal,State,City","Mastercard's corporate philanthropy arm. Co-funds PIT-UN with Ford and Hewlett, funds data.org, and supports digital inclusion and financial access programs with governments.",Corporate Philanthropy,Mastercard Inc. corporate funding,mastercard.com/global/en/vision/who-we-are/center-for-inclusive-growth.html,"Technology & Data,Domains,Service Delivery,Test & Learn","Data Integration,Economic Mobility,Benefits Access,Scaling What Works"
New Profit,Philanthropy,Venture Philanthropy,"Federal,State,City",Venture philanthropy fund (since 1998) backing social entrepreneurs in civic engagement and government service delivery. Build Investments provide $1.5M multi-year unrestricted grants; portfolio includes public service pipeline orgs such as Latinas Represent.,Philanthropy,Donor-funded; raised $300M+ since 1998,newprofit.org,"Domains,Test & Learn","Economic Mobility,Scaling What Works"
NextLadder Ventures,Philanthropy,Venture Philanthropy,"Federal,State,City","$1B+ initiative launched July 2025 by Ballmer Group, Gates Foundation, Stand Together, Valhalla Foundation, and John Overdeck. Invests in entrepreneurs building tools that help low-income Americans navigate government systems, using grants, equity, and revenue-based financing over 15 years.",Philanthropy,"$1B+ committed across founding coalition over 15 years; mix of grants, equity, and revenue-based financing",ballmergroup.org,"Service Delivery,Domains","Benefits Access,Economic Mobility"
Coefficient Giving (fmr. Open Philanthropy),Philanthropy,,"Federal,State,City",Renamed from Open Philanthropy in Nov 2025 as it expanded into multi-donor funds alongside Good Ventures. Major funder of Niskanen Center's state capacity work and evidence-based policy research. Runs collaborative funds including the Abundance and Growth Fund.,Philanthropy,Good Ventures (Cari Tuna and Dustin Moskovitz) plus multi-donor funds,coefficientgiving.org,"Domains,Test & Learn,Procurement & Operations","AI in Government,Evidence Use,Regulatory & Administrative Burden"
Patrick J. McGovern Foundation,Philanthropy,,"Federal,State,City","Co-funds PIT Infrastructure Fund. Supports Coding it Forward, Govern for America, and orgs advancing responsible AI and data use in public sector.",Philanthropy,McGovern Foundation endowment,mcgovern.org,"Talent & Hiring,Domains","Talent Pipeline,AI in Government"
Pivotal Ventures (Melinda French Gates),Philanthropy,Venture Philanthropy,"Federal,State,City","Co-funds PIT Infrastructure Fund. Supports Coding it Forward, Govern for America, and pathways for underrepresented technologists in government.",Philanthropy,Melinda French Gates personal wealth,pivotalventures.org,"Talent & Hiring,Domains","Talent Pipeline,Hiring Architecture,Economic Mobility"
Public Benefit Innovation Fund,Philanthropy,Capacity Building,"Federal,State,City",Pooled grantmaking vehicle housed at the Center for Civic Futures that funds states and their partners to develop AI tools for public benefits delivery. Awarded $8.5M to eight projects in Dec 2025.,Philanthropy,"Ballmer Group, Gates Foundation, W.K. Kellogg Foundation, Renaissance Philanthropy, Families and Workers Fund; Digital Harbor Foundation",publicbenefitinnovationfund.org,"Service Delivery,Procurement & Operations,Domains","Procurement Reform,Service Design,Regulatory & Administrative Burden,AI in Government,Benefits Access"
Public Interest Technology Infrastructure Fund (PIT Fund),Philanthropy,,"Federal,State,City","Pooled grantmaking vehicle housed at New Venture Fund. Dedicated to building the PIT ecosystem; funds talent pipeline orgs like Coding it Forward ($550K), Govern for America, #BlackTechFutures ($250K), AAAS AI fellowships ($250K), PIT hubs ($200K each), and Data & Society. Funded by Ford, Siegel, McGovern, Pivotal, Schmidt Futures.",Philanthropy,"Ford Foundation, Siegel, McGovern, Pivotal Ventures, Schmidt Futures",newventurefund.org,Talent & Hiring,"Talent Pipeline,Expert Contribution"
Raikes Foundation,Philanthropy,,"Federal,State,City","Co-funds PIT-UN. Founded by Jeff Raikes (fmr. Microsoft exec, fmr. Gates Foundation CEO). Supports education, youth development, and public interest technology pipeline programs.",Philanthropy,Raikes family wealth,raikesfoundation.org,"Talent & Hiring,Domains","Talent Pipeline,Education Delivery"
Robin Hood Foundation,Philanthropy,,City,NYC's largest local poverty-fighting philanthropy. Seeded Decoded Futures AI capacity-building for nonprofits delivering public services.,Philanthropy,NYC donor base; annual galas,robinhood.org,Domains,Economic Mobility
Rockefeller Foundation,Philanthropy,,"Federal,State,City",Launched AI Readiness Project (Nov 2025) expanding to all 50 states. Funds state/local government AI capacity-building and digital inclusion.,Philanthropy,$5B+ endowment,rockefellerfoundation.org,"Domains,Test & Learn,Procurement & Operations","AI in Government,Scaling What Works,Reaction Time"
Schmidt Futures,Philanthropy,,"Federal,State,City","Philanthropic initiative of Eric and Wendy Schmidt making grants and investments at the intersection of talent and technology; funded USDR, FAS, PIT-UN, and benefits access modernization. Its core science programs spun out as Schmidt Sciences in 2024.",Philanthropy,Schmidt family wealth; operates as LLC,schmidtfutures.com,"Service Delivery,Talent & Hiring,Domains,Test & Learn","Benefits Access,Talent Pipeline,AI in Government,Scaling What Works"
Siegel Family Endowment,Philanthropy,,"Federal,State,City","Committed $20M to PIT ecosystem. Co-funds PIT Infrastructure Fund. Supports Coding it Forward, Aspen Policy Academy, Data & Society, New America PIT.",Philanthropy,Siegel family wealth (Two Sigma co-founder),siegelendowment.org,Talent & Hiring,"Talent Pipeline,Expert Contribution"
Thierer Family Foundation,Philanthropy,,City,"Chicago-based foundation funding technology capacity for nonprofits and government-adjacent organizations. Founded Vivery, a food access platform used by 21+ food banks, and provides it to nonprofits at no cost.",Private Foundation,Thierer family (Mark and Nasrin Thierer),thiererfamilyfoundation.org,Domains,Economic Mobility
Valhalla Foundation,Philanthropy,Venture Philanthropy,"Federal,State","Foundation focused on children's outcomes through early childhood, K-12 education, and data science. Co-founder of NextLadder Ventures; funds data-driven improvement of government-run education and child welfare systems.",Philanthropy,Family foundation; undisclosed AUM,valhallafoundation.org,"Domains,Test & Learn,Technology & Data","Education Delivery,Child Welfare,Outcomes Measurement,Data Integration"
AI Now Institute of Technology,Research,Think Tank,"Federal,State","Independent policy research institute (est. 2017 at NYU) studying AI's social implications, power concentration, and government use of AI in benefits, hiring, and criminal justice. Publishes the annual AI Now Landscape Report. Refuses corporate tech funding.",Philanthropy,"Ford Foundation, Open Society Foundations, Omidyar Network, Luminate; no corporate tech industry funding",ainowinstitute.org,"Domains,Participatory Democracy,Technology & Data","AI in Government,Transparency & Accountability,Data Security"
Aspen Institute,Research,"Think Tank,Capacity Building","Federal,State,City","Nonpartisan forum for values-based leadership. Relevant programs include Aspen Policy Academy (see Training segment), Aspen Digital (tech policy), and various governance convenings. Broader than state capacity but significant convening power at leadership level.",Philanthropy,Broad philanthropic base; major foundation support; event revenue,aspeninstitute.org,Talent & Hiring,Expert Contribution
Bipartisan Policy Center (BPC),Research,Think Tank,Federal,"Centrist think tank founded by former Senate majority leaders from both parties. Governance program focuses on congressional capacity, executive branch management, and government modernization. Technology project examines AI governance and digital government policy.",Philanthropy,Bipartisan philanthropic base; foundation and corporate support,bipartisanpolicy.org,"Procurement & Operations,Participatory Democracy,Domains","Reaction Time,Democracy Infrastructure,AI in Government,Procurement Reform"
Brookings: Center for Technology Innovation,Research,Think Tank,"Federal,State,City","Policy research on AI governance, digital government, tech talent, and government modernization. Congressional testimony.",Philanthropy,Brookings endowment + donor-supported projects,brookings.edu/center/center-for-technology-innovation,"Domains,Talent & Hiring,Test & Learn","AI in Government,Talent Pipeline,Hiring Architecture,Evidence Use"
Building State Capability (BSC) - Harvard Kennedy School,Research,University,"Federal,State,City","Harvard Kennedy School program led by Matt Andrews that developed Problem Driven Iterative Adaptation (PDIA) for escaping government capability traps. Has trained 4,850+ practitioners in 157 countries through online courses, executive education, and coaching.",University,Harvard Kennedy School endowment + earned revenue from executive education,bsc.hks.harvard.edu,"Test & Learn,Procurement & Operations","Evidence Use,Scaling What Works,Operational Excellence,Iterative Learning"
Center for a New American Security (CNAS),Research,Think Tank,Federal,"Bipartisan national security think tank. Technology and National Security program researches AI, emerging tech, and defense innovation. [NOTE: Primarily defense-focused. State capacity relevance is limited to where defense tech/AI governance intersects with broader government modernization.]",Philanthropy,Broad bipartisan donor base; foundation and government grants,cnas.org,"Domains,Technology & Data","AI in Government,Data Security"
Center for Democracy and Technology (CDT),Research,"Think Tank,Advocacy",Federal,"Nonpartisan nonprofit (est. 1994) shaping technology policy around individual rights. Its AI Governance Lab (launched 2023) advises policymakers and agencies on AI auditing, documentation, and government use of AI in benefits, education, and law enforcement.",Philanthropy,"Foundation-funded; Ford Foundation, Open Society Foundations, and others; no corporate tech funding",cdt.org,"Domains,Participatory Democracy,Technology & Data","AI in Government,Transparency & Accountability,Data Security"
"Center for Information Technology Policy (CITP, Princeton)",Research,University,"Federal,State,City","Princeton interdisciplinary research center on technology and public life, covering election security, AI regulation, algorithmic accountability, and digital rights. Alumni pipeline into USDS, FTC, and congressional tech policy roles.","Philanthropy, University",Princeton University; foundation grants; NSF,citp.princeton.edu,"Domains,Participatory Democracy,Technology & Data","AI in Government,Democracy Infrastructure,Data Security,Transparency & Accountability"
Center for Security and Emerging Technology (CSET),Research,,Federal,"Georgetown think tank focused on AI and national security policy, producing analysis for DoD, Congress, and the intelligence community. Founded by former IARPA director Jason Matheny.",Philanthropy,Coefficient Giving (fmr. Open Philanthropy) (primary funder); Georgetown University,cset.georgetown.edu,"Domains,Talent & Hiring","AI in Government,Expert Contribution"
Center for Tribal Digital Sovereignty (ASU / NCAI),Research,"University,Advocacy",Federal,"First US center dedicated to helping tribal governments build digital sovereignty plans, launched June 2024 by ASU Law's American Indian Policy Institute and the National Congress of American Indians. Provides research, capacity-building, and clearinghouse resources on broadband, data, and spectrum governance, including AI governance frameworks for tribal contexts (Feb 2026). Co-hosts the annual Wiring the Rez conference.","Philanthropy,University",Ford Foundation + Google.org seed funding; ASU and NCAI foundational support; seeking additional philanthropic partners,aipi.asu.edu/ctds,"Service Delivery,Technology & Data,Participatory Democracy,Domains","Benefits Access,Data Integration,Transparency & Accountability,Broadband & Internet Connectivity,Data Security"
Centre for Public Impact (CPI),Research,Think Tank,"Federal,State,City","Global not-for-profit providing government reimagining consulting, adaptive leadership coaching, and legitimacy frameworks.",Philanthropy,BCG Foundation (founded by BCG; now independently operated); diversified philanthropic base,centreforpublicimpact.org,"Procurement & Operations,Test & Learn","Operational Excellence,Outcomes Measurement,Iterative Learning,Feedback Loops"
Council of State Governments (CSG),Research,"Think Tank,Ecosystems",State,Nonpartisan organization (est. 1933) serving all three branches of state government through six regional offices. Publishes the Book of the States and the CSG 50-State Scan (2025); the CSG Justice Center develops criminal justice reform strategies.,Government,State appropriations (population-based dues) + federal grants + foundation grants,csg.org,"Test & Learn,Procurement & Operations,Participatory Democracy,Domains","Scaling What Works,Reaction Time,Transparency & Accountability,Criminal Justice,Outcomes Measurement"
Data & Society,Research,,"Federal,State,City",Research institute studying social implications of data and AI. Public Technology Leadership Collaborative connects tech experts with government leaders.,Philanthropy,"Ford Foundation, MacArthur Foundation, Siegel Family Endowment",datasociety.net,"Domains,Participatory Democracy,Talent & Hiring","AI in Government,Transparency & Accountability,Expert Contribution"
Data Foundation,Research,Advocacy,"Federal,State","Nonprofit that tracks open government data policy across all 50 states and publishes the annual State of Data Ownership report. Runs the Data Coalition, advocating for federal and state data infrastructure standards. Meaningful node for open data and data infrastructure problem statements.","Philanthropy, Membership",Foundation grants; member dues from Data Coalition,datafoundation.org,"Participatory Democracy,Test & Learn,Technology & Data","Transparency & Accountability,Evidence Use,Data Integration"
Foundation for American Innovation,Research,Think Tank,"Federal,State,City","Center-right innovation policy think tank whose Senior Fellows program places technologists in congressional offices. Work includes GAO reform, AI governance, and congressional tech capacity; runs the AI Policy Leadership Network with CNAS and Horizon.",Philanthropy,Philanthropic grants,thefai.org,"Domains,Talent & Hiring,Procurement & Operations","AI in Government,Expert Contribution,Reaction Time,Procurement Reform"
Georgetown Beeck Center,Research,"University,Digital Services & Consulting,Capacity Building,Ecosystems","State,City","Provides technical assistance, communities of practice, and practitioner training on digital government, data governance, and AI for state/local agencies. Runs Digital Government Hub.","University,Philanthropy","Georgetown + Annie E. Casey Foundation, Bloomberg, others",beeckcenter.georgetown.edu,"Test & Learn,Domains,Technology & Data,Service Delivery","Scaling What Works,AI in Government,Data Integration,Service Design,Feedback Loops"
Government Finance Officers Association (GFOA),Research,Think Tank,"Federal,State,City","Professional association (est. 1906) of 30,000+ state, provincial, and local government finance officers; publishes the GAAFR Blue Book and runs budget and reporting award programs. Its Research and Consulting Center has helped 450+ governments select and negotiate ERP and financial systems.",Government,Member dues + conference revenue + consulting fees + publication sales,gfoa.org,"Domains,Procurement & Operations,Test & Learn","Tax & Revenue,Operational Excellence,Outcomes Measurement,Procurement Reform"
GovEx / Johns Hopkins Centers for Civic Impact,Research,"University,Digital Services & Consulting,Capacity Building,Ecosystems",City,"Bloomberg Center for Government Excellence at Johns Hopkins, providing technical assistance, coaching, and training to help cities use data, analytics, and AI. Runs City Data Alliance programming, GovEx Academy, and a CDOs-in-Residence program; has worked with 140+ cities.","University,Philanthropy","Bloomberg Philanthropies, Ballmer Group, Knight Foundation, Gates Foundation + JHU",govex.jhu.edu,"Test & Learn,Domains,Technology & Data,Talent & Hiring","Outcomes Measurement,AI in Government,Data Integration,Talent Pipeline,Feedback Loops"
Harvard Ash Center for Democratic Governance and Innovation,Research,University,"Federal,State,City","Harvard Kennedy School center for government innovation and democratic governance, supported by a $50M Ford Foundation endowment. Runs the Innovations in American Government Awards (since 1985), Data-Smart City Solutions, and the Allen Lab for Democracy Renovation. Houses the Bloomberg Harvard City Leadership Initiative.","University,Philanthropy",$50M Ford Foundation endowment + Bloomberg Philanthropies ($32M for City Leadership Initiative) + Harvard Kennedy School,ash.harvard.edu,"Test & Learn,Participatory Democracy","Scaling What Works,Democracy Infrastructure,Civic Engagement,Iterative Learning,Outcomes Measurement"
IBM Center for the Business of Government,Research,Think Tank,"Federal,State,City","Research center (est. 1998; part of IBM since 2002) funding practitioner-focused research on federal, state, and local public management. Publishes 25+ reports a year on digital modernization, AI adoption, workforce, procurement, and administrative burden.",Corporate Philanthropy,IBM corporate funding,businessofgovernment.org,"Domains,Procurement & Operations,Test & Learn","AI in Government,Procurement Reform,Outcomes Measurement,Operational Excellence"
Information Technology and Innovation Foundation (ITIF),Research,Think Tank,"Federal,State,City","Nonpartisan science and tech policy think tank. Research on government IT modernization, AI policy, and digital infrastructure. Published 'After DOGE: Trump's Chance to Modernize.'",Philanthropy,Foundation grants + industry sponsorship,itif.org,"Procurement & Operations,Domains","Procurement Reform,AI in Government,Physical Infrastructure"
Institute for Progress (IFP),Research,,Federal,"The Institute for Progress (IFP) is a nonpartisan think tank founded 2022 focused on innovation policy: metascience, immigration, emerging technology, and AI infrastructure. Provides technical assistance to federal agencies and runs Capitol Hill briefings for congressional staff. Produces rapid-turnaround policy analysis on high-stakes technology and science policy questions.",Philanthropy,"Arnold Ventures, Sloan Foundation, Schmidt Futures, Coefficient Giving (fmr. Open Philanthropy), Astera Foundation",ifp.org,"Talent & Hiring,Procurement & Operations","Expert Contribution,Reaction Time"
Jain Family Institute,Research,,"Federal,State,City","Nonpartisan applied research organization (est. 2014) advising cities, state legislatures, and federal policymakers. Work spans guaranteed income program design (Compton Pledge, Stockton SEED), digital ethics and AI governance, and macroeconomic policy.",Philanthropy,Private foundation funding (Bobby Jain); Open Society Foundations,jainfamilyinstitute.org,"Service Delivery,Domains,Test & Learn","Benefits Access,Tax & Revenue,Evidence Use"
J-PAL North America,Research,,"Federal,State,City","MIT-based research center running randomized evaluations with state and local governments. Its State and Local Innovation Initiative and LEVER Evaluation Incubator (with Results for America) help agencies generate evidence on housing, criminal justice, workforce, health, and education. Has partnered with 18+ state and local governments since 2015.",Philanthropy,"Arnold Ventures, Gates Foundation, JPB Foundation, federal research grants",povertyactionlab.org/j-pal-north-america,"Test & Learn,Service Delivery,Domains","Evidence Use,Benefits Access,Criminal Justice,Housing & Land Use,Iterative Learning,Outcomes Measurement,Scaling What Works,Healthcare Access,Economic Mobility"
Manhattan Institute,Research,Think Tank,"Federal,State,City","Center-right think tank on urban policy and public-sector reform, with a governance program focused on transparency, accountability, and evidence-based reform. Publishes City Journal and 'Digital Transformation: Wiring the Responsive City.'",Philanthropy,Conservative philanthropic base; individual and foundation donors,manhattan.institute,"Procurement & Operations,Participatory Democracy,Test & Learn,Domains","Regulatory & Administrative Burden,Transparency & Accountability,Outcomes Measurement,Housing & Land Use"
MDRC,Research,,"Federal,State,City",Nonprofit research organization (est. 1974) specializing in randomized evaluations of social and education programs. Works directly with government agencies on program design and evaluation; multi-year Arnold Ventures partner.,"Government Contracts, Philanthropy","Arnold Ventures (multi-year); Annie E. Casey, Rockefeller; government agency contracts",mdrc.org,"Test & Learn,Service Delivery,Talent & Hiring,Domains","Outcomes Measurement,Benefits Access,Workforce Development,Evidence Use,Criminal Justice"
Mercatus Center (George Mason University),Research,"Think Tank,University","Federal,State","George Mason University research center focused on regulatory reform, permitting modernization, and government process improvement, including influential work on regulatory accumulation. Also runs a technology policy program.","University,Philanthropy",George Mason University + Koch-affiliated and broad donor base,mercatus.org,"Procurement & Operations,Domains","Regulatory & Administrative Burden,Permitting & Licensing,Reaction Time"
MIT GOV/LAB,Research,University,"Federal,State,City","Research lab studying government innovation, political accountability, and institutional design using field experiments and design thinking.","University,Philanthropy",MIT endowment + donor support,mitgovlab.org,"Participatory Democracy,Test & Learn","Transparency & Accountability,Evidence Use,Iterative Learning,Democracy Infrastructure"
National Association of Counties (NACo),Research,"Advocacy,Ecosystems",City,"The only national organization representing all 3,069 US county governments. Runs the County Tech Xchange peer network for county CIOs, published the AI County Compass governance guide (2024), and hosts regional AI forums. Complementary to NLC which covers municipalities; NACo covers the county layer of government.",Membership,County member dues; corporate partnerships,naco.org,"Technology & Data,Test & Learn,Domains","Data Integration,Scaling What Works,AI in Government"
National Civic League,Research,Think Tank,City,"Nonpartisan nonprofit (est. 1894) promoting civic engagement and government innovation. All-America City Award (oldest community recognition in US). Research on collaborative governance, civic infrastructure, and democratic innovation.",Philanthropy,Foundation grants + membership + earned revenue,nationalcivicleague.org,Participatory Democracy,"Civic Engagement,Democracy Infrastructure"
National Conference of State Legislatures (NCSL),Research,"Think Tank,Ecosystems",State,"Bipartisan organization serving 7,500+ state legislators and staff across all states and territories. Provides nonpartisan research, technical assistance, and legislative tracking, including AI (450+ bills tracked in 2024), cybersecurity, broadband, and digital government.",Government,State legislative appropriations (member dues) + federal grants + foundation grants,ncsl.org,"Procurement & Operations,Test & Learn,Participatory Democracy,Domains","Reaction Time,Scaling What Works,Transparency & Accountability,Broadband & Internet Connectivity"
National League of Cities (NLC),Research,Think Tank,City,"Membership and research organization representing 19,000+ cities, towns, and villages. Publishes the annual State of the Cities report and digital government research, partners with the Beeck Center on digital services guidance, and co-hosts State of GovTech with CivStart.",Government,City membership dues + foundation grants + federal grants,nlc.org,"Test & Learn,Domains","Scaling What Works,Outcomes Measurement,Broadband & Internet Connectivity,Feedback Loops"
New America: Public Interest Technology,Research,"Fellowships,Advocacy","Federal,State,City","PIT program: fellowships, The Commons (procurement research), policy research. Co-convenes PIT University Network (PIT-UN): 63 institutions, $16M+ deployed.",Philanthropy,"Ford Foundation, Hewlett Foundation, Siegel Family Endowment",newamerica.org/public-interest-technology,"Talent & Hiring,Procurement & Operations,Test & Learn","Talent Pipeline,Procurement Reform,Expert Contribution,Evidence Use"
NGA Center for Best Practices,Research,Think Tank,State,"R&D arm of the National Governors Association, providing policy analysis and direct technical assistance to governors' offices across five divisions. Runs policy academies for state teams on implementation challenges such as SNAP E&T delivery and workforce pathways.",Government,State appropriations (population-based dues) + federal grants + foundation support,nga.org/bestpractices,"Test & Learn,Talent & Hiring,Domains","Scaling What Works,Outcomes Measurement,Workforce Development,Healthcare Access,Public Health"
